Unnamed: 0.1,Unnamed: 0,date,team_1,team_2,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner,elo_diff,winrate_10_diff,winrate_30_diff,experience_diff,rank_diff,h2h_winrate,team_1_wins
45740,45740,2015-11-08,Virtus.pro,Titan,Cobblestone,16,13,1,1,7,8,9,5,1853,2299121,4,11,2,0,1,65.18457951710661,0.33333333333333337,0.33333333333333337,-2,-7,1.0,1
45739,45739,2015-11-09,Envy,CSGL,Cache,16,11,1,1,10,5,6,6,1970,2299130,1,19,2,0,1,14.53049847102443,0.0,0.0,-1,-18,0.5,1
45738,45738,2015-11-09,Envy,CSGL,Cobblestone,16,12,1,2,7,6,9,6,1970,2299130,1,19,2,0,1,45.19296983299341,0.5,0.5,-1,-18,1.0,1
45731,45731,2015-11-11,NiP,mousesports,Mirage,8,16,2,1,4,11,4,5,1934,2299160,6,8,8,16,2,15.90165418073093,0.4285714285714286,0.4285714285714286,-5,-2,0.5,0
45729,45729,2015-11-11,mousesports,fnatic,Overpass,16,9,1,2,8,2,8,7,1934,2299163,8,4,16,9,1,32.09382635950874,0.625,0.625,8,4,0.5,1
45732,45732,2015-11-11,Virtus.pro,G2,Inferno,4,16,2,2,0,5,4,11,1970,2299165,2,7,0,2,2,162.57517388584597,1.0,1.0,5,-5,0.5,0
45730,45730,2015-11-11,mousesports,Virtus.pro,Inferno,16,2,1,1,13,2,3,0,1934,2299162,8,2,16,2,1,-49.2236087001404,-0.2222222222222222,-0.2222222222222222,0,6,0.5,1
45734,45734,2015-11-11,CLG,Luminosity,Cobblestone,10,16,2,1,7,8,3,8,1934,2299147,13,9,10,16,2,59.611438743627104,0.3333333333333333,0.3333333333333333,-6,4,0.0,0
45736,45736,2015-11-11,Cloud9,Complexity,Cache,16,12,1,1,10,5,6,7,1937,2299155,11,22,16,12,1,-16.033908130169266,0.0,0.0,1,-11,0.5,1
45733,45733,2015-11-11,Virtus.pro,G2,Train,14,16,2,2,4,11,10,5,1970,2299165,2,7,0,2,2,98.35460695656002,0.55,0.55,6,-5,0.0,0
45735,45735,2015-11-11,Cloud9,Conquest,Dust2,16,6,1,1,9,6,7,0,1934,2299149,11,17,16,6,1,0.7039568765039803,0.5,0.5,2,-6,0.5,1
45737,45737,2015-11-11,Titan,Virtus.pro,Train,13,16,2,2,10,4,3,12,1934,2299161,10,2,13,16,2,-29.601986747190267,-0.09999999999999998,-0.12727272727272732,-1,8,0.5,0
45716,45716,2015-11-12,Conquest,CLG,Overpass,16,13,1,2,11,3,5,10,1970,2299179,17,13,2,0,1,-12.546599254208104,-0.5,-0.5,-3,4,0.5,1
45717,45717,2015-11-12,Cloud9,Complexity,Overpass,16,11,1,2,8,4,8,7,1934,2299174,11,22,16,11,1,33.4094035153405,0.6666666666666666,0.6666666666666666,2,-11,1.0,1
45718,45718,2015-11-12,Liquid,Conquest,Cache,16,8,1,1,8,7,8,1,1934,2299173,14,17,16,8,1,-31.1064077668766,-0.25,-0.25,2,-3,0.5,1
45719,45719,2015-11-12,Liquid,Complexity,Cache,16,9,1,1,12,3,4,6,1937,2299176,14,22,16,9,1,18.13626934271838,0.4,0.4,3,-8,0.5,1
45721,45721,2015-11-12,Luminosity,Winterfox,Dust2,16,5,1,1,11,4,5,1,1934,2299171,9,21,16,5,1,-25.595253692377582,0.4,0.4,10,-12,0.5,1
45720,45720,2015-11-12,Winterfox,Luminosity,Overpass,9,16,2,2,3,7,6,9,1937,2299178,21,9,9,16,2,-8.757900872047003,-0.4,-0.45454545454545453,-10,12,0.5,0
45723,45723,2015-11-12,CLG,Conquest,Dust2,16,12,1,2,10,3,6,9,1934,2299172,13,17,16,12,1,-3.1797955208401163,0.06666666666666671,0.06666666666666671,2,-4,0.5,1
45724,45724,2015-11-12,Conquest,CLG,Mirage,16,3,1,1,12,3,4,0,1970,2299179,17,13,2,0,1,-29.113066292858775,-0.25,-0.25,-2,4,1.0,1
45725,45725,2015-11-12,Dignitas,Virtus.pro,Cache,16,4,1,2,2,3,14,1,1934,2299195,12,2,16,4,1,-100.9177709133296,-0.36666666666666664,-0.4166666666666667,-6,10,0.5,1
45726,45726,2015-11-12,Dignitas,fnatic,Inferno,4,16,2,2,0,5,4,11,1934,2299198,12,4,4,16,2,5.949213478710362,0.42857142857142855,0.42857142857142855,6,8,0.5,0
45727,45727,2015-11-12,Virtus.pro,E-frag.net,Dust2,16,13,1,2,9,5,7,8,1970,2299199,2,16,2,0,1,7.551637858065533,-0.4,-0.3076923076923077,10,-14,0.5,1
45728,45728,2015-11-12,Natus Vincere,fnatic,Dust2,14,16,2,2,6,9,8,7,1934,2299194,5,4,14,16,2,-74.13462738602516,-0.5,-0.5,3,1,0.5,0
45722,45722,2015-11-12,Cloud9,Liquid,Cache,12,16,2,2,3,10,9,6,1937,2299175,11,14,12,16,2,29.039912172458116,0.25,0.25,-2,-3,0.5,0
45706,45706,2015-11-13,Luminosity,Liquid,Dust2,16,14,1,1,7,8,9,6,1937,2299211,9,14,16,14,1,-12.253930189934863,-0.0714285714285714,-0.0714285714285714,5,-5,0.5,1
45707,45707,2015-11-13,Liquid,Winterfox,Mirage,16,11,1,1,9,6,7,5,1937,2299215,14,21,16,11,1,35.641288921707655,0.5,0.5,6,-7,0.5,1
45708,45708,2015-11-13,Complexity,Luminosity,Inferno,12,16,2,2,6,7,6,9,1937,2299213,22,9,12,16,2,-70.11175479773897,-0.5,-0.5384615384615384,-10,13,0.5,0
45709,45709,2015-11-13,Liquid,Luminosity,Cobblestone,11,16,2,1,7,8,4,8,1937,2299214,14,9,11,16,2,-19.324199060411956,0.05555555555555558,-0.015873015873015817,-5,5,1.0,0
45711,45711,2015-11-13,Cloud9,Luminosity,Overpass,13,16,2,2,6,8,7,8,1937,2299212,11,9,13,16,2,-37.864065570092635,0.0,0.0,-10,2,0.5,0
45712,45712,2015-11-13,Virtus.pro,G2,Train,13,16,2,2,6,8,7,8,1937,2299222,2,7,13,16,2,67.30164233233745,0.19999999999999996,0.3142857142857143,9,-5,0.0,0
45713,45713,2015-11-13,Virtus.pro,NiP,Mirage,14,16,2,2,4,11,10,5,1937,2299223,2,6,14,16,2,33.357992442651266,-0.16666666666666663,0.0,12,-4,0.5,0
45714,45714,2015-11-13,Envy,Virtus.pro,Cache,4,16,2,2,0,5,4,11,1937,2299224,1,2,4,16,2,-17.096727560723593,0.2666666666666666,0.04166666666666663,-13,-1,0.5,0
45715,45715,2015-11-13,NiP,fnatic,Train,16,7,1,1,9,6,7,1,1937,2299225,6,4,16,7,1,17.67880394474105,0.08333333333333337,0.08333333333333337,1,2,0.5,1
45710,45710,2015-11-13,Conquest,Complexity,Inferno,25,22,1,1,13,2,2,13,1934,2299207,17,22,25,22,1,43.55635944147161,0.4,0.4,1,-5,0.5,1
45697,45697,2015-11-14,Winterfox,CLG,Mirage,2,16,2,2,1,2,1,14,1960,2299252,21,13,2,16,2,-25.94806800609649,-0.42857142857142855,-0.42857142857142855,-4,8,0.5,0
45698,45698,2015-11-14,G2,Virtus.pro,Cache,16,10,1,2,5,6,11,4,1937,2299245,7,2,16,10,1,-26.86113020657035,0.09999999999999998,-0.1470588235294118,-11,5,0.5,1
45699,45699,2015-11-14,Titan,Virtus.pro,Cobblestone,8,16,2,2,0,9,8,7,1937,2299246,10,2,8,16,2,-15.399518856848317,0.3,-0.06565656565656575,-7,8,0.0,0
45700,45700,2015-11-14,CLG,Renegades,Dust2,10,16,2,1,7,8,3,8,1960,2299242,13,18,10,16,2,-6.3824057305807855,0.5,0.5,8,-5,0.5,0
45702,45702,2015-11-14,Luminosity,Winterfox,Dust2,16,5,1,1,11,4,5,1,1960,2299241,9,21,16,5,1,127.8757051238149,0.7,0.625,12,-12,1.0,1
45703,45703,2015-11-14,Virtus.pro,fnatic,Train,10,16,2,2,2,9,8,7,1937,2299248,2,4,10,16,2,44.430430144592265,-0.09999999999999998,0.13157894736842102,15,-2,0.5,0
45704,45704,2015-11-14,Cloud9,Conquest,Inferno,16,4,1,2,5,0,11,4,1960,2299243,11,17,16,4,1,1.163289322726314,0.0,0.0,0,-6,1.0,1
45705,45705,2015-11-14,Renegades,CLG,Train,10,16,2,2,4,7,6,9,1960,2299255,18,13,10,16,2,37.794630553940124,0.5555555555555556,0.5555555555555556,-8,5,0.5,0
45701,45701,2015-11-14,Luminosity,Renegades,Cobblestone,16,0,1,2,1,0,15,0,1960,2299251,9,18,16,0,1,78.32162432938526,0.30000000000000004,0.1470588235294118,15,-9,0.5,1
45683,45683,2015-11-15,Virtus.pro,Titan,Train,16,2,1,1,13,2,3,0,1937,2299260,2,10,16,2,1,27.94708309205953,-0.19999999999999996,0.09999999999999998,8,-8,1.0,1
45688,45688,2015-11-15,CLG,Liquid,Overpass,7,16,2,1,3,12,4,4,1960,2299265,13,14,0,2,2,-6.476173739578826,0.0,0.0,0,-1,1.0,0
45685,45685,2015-11-15,NiP,Virtus.pro,Cobblestone,14,16,2,1,2,13,12,3,1937,2299259,6,2,14,16,2,6.940757480542743,0.30000000000000004,0.18095238095238098,-16,4,0.5,0
