elo_diff,winrate_10_diff,winrate_30_diff,experience_diff,rank_diff,h2h_winrate,team_1_wins
1.7666395850081809,0.7936191829770903,0.7569102001041756,3.2780530044689633,-0.2906688987219994,1.3915139241496963,1
-2.204354625363052,-1.4541489510518404,-0.6539469292640016,-0.3736229037858091,2.7214762905407515,-0.0763377728773539,0
-0.8190330505016887,-0.3302648840373745,-0.5363755018166535,-1.533447845519988,1.4015474997402202,-1.5441894699044043,0
-0.699047857133456,-0.3302648840373748,-0.5487514415479534,-0.0646739018391502,0.0816187089396889,-0.0763377728773539,1
-0.4083898879551294,-0.0492938672837584,0.4041959177621315,-0.0342854754181673,0.4539063166013772,-1.5441894699044043,0
-0.8256076953476625,-0.4707503924141829,-0.947875497882372,-1.7157784040458852,1.9092124192788864,-0.0763377728773539,0
2.2801467561503928,-0.8922069175446075,-1.712089776290135,3.262858791258472,0.2846846767551552,-1.5441894699044043,0
-0.1798375443341371,1.3555612164843234,0.6393387726568276,-0.3989465924699615,-0.0199142749680442,-1.5441894699044043,0
0.2563185559052912,0.6999621773925517,0.2866244903147835,0.1125919189499164,-1.5767533615532865,-0.0763377728773539,1
0.1454097912773307,-0.3302648840373745,0.2746001397803956,-0.0798681150496416,-2.744382676492218,-0.0763377728773539,1
-0.8873075942343983,-0.8922069175446075,-1.0066612116060458,-1.2295635813101595,-0.0537586029372886,-0.0763377728773539,1
-0.1555409153582763,-0.0492938672837584,-0.0093311718802656,0.0112971642133069,0.2339181848012887,-1.5441894699044043,0
-0.2662417796689273,-1.4541489510518404,0.1690530628674351,-0.1254507546811159,0.9108047441861764,-0.0763377728773539,0
-0.1434633125709909,-0.0492938672837584,0.0808744922819239,-0.307781313207013,1.198481531924754,-1.5441894699044043,0
0.5744940633518825,0.7936191829770907,0.2866244903147835,0.2037571982128649,-0.426046210598977,-0.3699081122827639,0
0.5914725693224043,0.7936191829770907,0.6393387726568279,0.289857739738983,-0.1552915868450218,0.1683041766271545,1
-0.6712901073758933,-0.6112359007909909,-0.9324055732182476,-0.0190912622076759,-0.087602930906533,1.3915139241496963,1
-0.8979226979056841,-0.3302648840373745,-1.0066612116060458,-0.2064865584704035,0.3016068407397774,-0.1626819903495335,1
-0.135798945170594,-0.0492938672837584,0.2866244903147831,-2.3590000966233555,0.3016068407397774,1.3915139241496963,1
