season,date,event,patch,blue_team,red_team,winner,blue_team_win,elo_diff,winrate_last_5_diff,winrate_last_10_diff,winrate_last_20_diff,matches_played_diff,days_since_last_match_diff,head_to_head_winrate_diff,blue_side_team_winrate,red_side_team_winrate
2,2012-10-04,Main,,SK_Gaming,Azubu_Frost,Azubu_Frost,0,-47.99829167504754,-1.0,-1.0,-1.0,1,0,0.0,0.0,0.5
2,2012-10-04,Main,,Invictus_Gaming,Counter_Logic_Gaming,Invictus_Gaming,1,16.733047082143685,0.6,0.5,0.5,-7,0,0.0,1.0,0.5
2,2012-10-04,Main,,Azubu_Frost,Invictus_Gaming,Azubu_Frost,1,-1.4635532998963754,0.0,0.0,0.0,0,0,0.0,1.0,0.5
2,2012-10-05,Main,,TSM,Azubu_Frost,Azubu_Frost,0,-25.882848049548784,-0.4,-0.4444444444444444,-0.4444444444444444,6,472,0.0,0.6666666666666666,1.0
2,2012-10-05,Main,,NaJin_Black_Sword,Taipei_Assassins,Taipei_Assassins,0,16.0,0.5,0.5,0.5,1,2,0.0,1.0,0.5
2,2012-10-05,Main,,Taipei_Assassins,NaJin_Black_Sword,Taipei_Assassins,1,17.47261358704418,0.5,0.5,0.5,-1,0,0.5,0.5,0.5
2,2012-10-05,Main,,Invictus_Gaming,Moscow_Five,Moscow_Five,0,15.162611231319033,0.16666666666666663,0.16666666666666663,0.16666666666666663,3,2,0.0,1.0,0.5
2,2012-10-05,Main,,Moscow_Five,Invictus_Gaming,Moscow_Five,1,18.23303094707876,0.5,0.5,0.5,-3,0,0.5,0.5,0.0
2,2012-10-05,Main,,Dignitas,NaJin_Black_Sword,NaJin_Black_Sword,0,-0.06765914048014565,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-2,1,0.0,0.0,0.0
2,2012-10-05,Main,,Dignitas,Saigon_Jokers,Saigon_Jokers,0,-15.996884181473888,0.0,0.0,0.0,1,-1,0.0,0.0,0.0
2,2012-10-05,Main,,Saigon_Jokers,Counter_Logic_Gaming_Europe,Counter_Logic_Gaming_Europe,0,-16.736163608592506,-0.5,-0.5,-0.5,1,-1,0.0,0.5,1.0
2,2012-10-05,Main,,Counter_Logic_Gaming_Europe,NaJin_Black_Sword,NaJin_Black_Sword,0,31.16532344203597,0.5,0.5,0.5,-2,0,0.0,0.5,0.5
2,2012-10-06,Main,,Azubu_Frost,TSM,Azubu_Frost,1,55.50334991308614,0.4,0.5,0.5,-6,0,0.5,1.0,0.3333333333333333
2,2012-10-07,Main,,Team_WE,Counter_Logic_Gaming_Europe,Counter_Logic_Gaming_Europe,0,-13.798487611099063,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663,-3,-3,0.0,0.5,1.0
2,2012-10-07,Main,,Counter_Logic_Gaming_Europe,Team_WE,Team_WE,0,44.52826770511956,0.75,0.75,0.75,3,0,0.5,0.0,0.5
2,2012-10-11,Main,,Counter_Logic_Gaming_Europe,Azubu_Frost,Azubu_Frost,0,-62.9856772142864,-0.4,-0.4,-0.4,0,-1,0.0,0.0,1.0
2,2012-10-11,Main,,Azubu_Frost,Counter_Logic_Gaming_Europe,Azubu_Frost,1,89.24720975882224,0.6,0.5,0.5,0,0,0.5,1.0,1.0
2,2012-10-11,Main,,Counter_Logic_Gaming_Europe,Azubu_Frost,Counter_Logic_Gaming_Europe,1,-113.20338660194852,-0.8,-0.5714285714285714,-0.5714285714285714,0,0,-0.5,0.0,1.0
2,2012-10-11,Main,,Counter_Logic_Gaming_Europe,Team_WE,Counter_Logic_Gaming_Europe,1,4.376754278507406,-0.09999999999999998,0.0,0.0,6,-4,0.0,0.25,1.0
2,2012-10-11,Main,,Moscow_Five,Taipei_Assassins,Taipei_Assassins,0,-0.07341190464467218,0.0,0.0,0.0,0,0,0.0,1.0,1.0
2,2012-10-11,Main,,Taipei_Assassins,Moscow_Five,Taipei_Assassins,1,32.066650418454174,0.33333333333333337,0.33333333333333337,0.33333333333333337,0,0,0.5,1.0,1.0
2,2012-10-11,Main,,Moscow_Five,Taipei_Assassins,Moscow_Five,1,-61.12156051940565,-0.5,-0.5,-0.5,0,0,-0.5,0.5,1.0
2,2012-10-14,Main,,Azubu_Frost,Taipei_Assassins,Taipei_Assassins,0,34.51187768591922,0.0,0.07499999999999996,0.07499999999999996,3,0,0.0,1.0,0.6666666666666666
2,2012-10-14,Main,,Taipei_Assassins,Azubu_Frost,Taipei_Assassins,1,0.6563701160491746,0.20000000000000007,0.05555555555555558,0.05555555555555558,-3,0,0.5,1.0,0.75
2,2012-10-14,Main,,Azubu_Frost,Taipei_Assassins,Taipei_Assassins,0,-32.59591626618135,-0.4,-0.15714285714285714,-0.15714285714285714,3,0,-0.5,0.8,0.75
