elo_diff,winrate_last_5_diff,winrate_last_10_diff,winrate_last_20_diff,matches_played_diff,days_since_last_match_diff,head_to_head_winrate_diff,blue_side_team_winrate,red_side_team_winrate
-81.12567202322657,-0.3,-0.3,-0.2272727272727273,-11,-820,0.0,0.5,0.6666666666666666
-16.0,-0.5,-0.5,-0.5,1,1,0.0,0.5,0.5
28.330472996443405,1.0,1.0,1.0,0,0,0.0,1.0,0.5
-110.19245181319206,-0.8,-0.9,-0.75,-11,0,0.0,0.5,0.7142857142857143
41.84694909915697,-0.4,-0.1999999999999999,-0.3076923076923077,11,0,0.0,0.8,0.5
-31.20336212343432,-0.5,-0.5,-0.5,0,0,0.0,0.0,0.0
-85.89100170497613,-0.3,-0.3,-0.2142857142857143,-12,1,0.0,1.0,0.625
2.125479379938497,0.0,0.0,0.0,0,0,0.0,1.0,0.0
-30.20865098831723,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0,0,0.0,0.0,0.0
8.344058036974502,0.0999999999999999,0.0999999999999999,0.0384615384615384,-11,0,0.0,1.0,0.4
-63.21344909663912,-1.0,-1.0,-1.0,0,0,0.0,0.0,1.0
-21.02087076571297,-0.3,-0.0999999999999999,-0.0714285714285714,12,-3,0.0,0.5,0.0
62.53775105483328,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0.0,1.0,0.0
-62.43861527624063,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,0,0,0.0,1.0,1.0
58.85158298033707,0.5,0.5,0.5,0,0,0.5,0.5,0.0
95.52512513742772,0.3,0.3,0.2333333333333332,11,0,0.5,0.8333333333333334,0.5
-102.23727632385884,-0.75,-0.75,-0.75,1,-3,-0.5,0.0,0.5
94.4999538259226,0.2,0.2,0.15,11,0,-0.5,0.8571428571428571,0.5
-52.62019178132255,-0.4,-0.4,-0.4,0,0,-0.5,0.5,0.6666666666666666
90.86826812044568,0.6,0.5,0.5,0,0,0.5,0.6666666666666666,0.0
21.525478539224423,0.0,0.1666666666666666,0.1666666666666666,0,0,0.5,1.0,0.3333333333333333
215.06609214420385,0.8,0.8,0.7647058823529411,10,1,0.5,0.875,0.0
-32.63328287598051,-0.1999999999999999,-0.1428571428571428,-0.1428571428571428,0,0,-0.5,0.6666666666666666,0.3333333333333333
-88.66218122000419,-0.4,-0.0857142857142857,-0.0634920634920634,-11,0,-0.5,1.0,0.6666666666666666
62.68090737178295,0.6,0.5,0.5333333333333333,-11,0,0.5,1.0,0.3333333333333333
-27.011644003967376,-0.25,-0.25,-0.25,0,0,-0.5,0.0,0.0
-48.90390974007551,-0.35,-0.35,-0.3125,12,-3,-0.5,0.5555555555555556,0.0
143.66349177695338,1.0,1.0,1.0,0,0,0.5,1.0,0.0
-60.831657642045,-0.4,-0.4,-0.4,0,0,-0.5,0.5,0.5
-22.81317250752204,0.0,-0.1666666666666666,-0.1666666666666666,0,0,-0.5,1.0,1.0
7.592765286836538,0.2,0.0,0.0,0,0,0.0,0.75,0.5
50.66822855078567,0.4,0.4,0.4117647058823529,11,0,0.5,0.5,0.0
93.04950835695875,0.6000000000000001,0.5238095238095237,0.5238095238095237,1,-1,0.5,1.0,0.3333333333333333
-139.05643492310105,-0.8,-0.7142857142857142,-0.7142857142857142,0,0,-0.5,0.0,0.6666666666666666
8.873119157091423,0.0,-0.0142857142857142,-0.1031746031746032,-11,0,-0.5,0.3333333333333333,0.2857142857142857
27.592538337054748,0.0,0.0666666666666666,0.0666666666666666,4,-352,0.0,0.75,0.6666666666666666
141.4077145203903,0.5,0.4,0.2894736842105263,19,3,0.0,0.8888888888888888,0.5
-161.05808397047463,-1.0,-0.9,-0.8,-19,0,-0.5,0.5,0.7
115.20262043999604,0.3,0.3,0.3,19,0,0.0,0.9,0.0
57.05650113981005,0.1999999999999999,0.1999999999999999,0.1999999999999999,4,0,0.5,0.8,0.5
-19.84814030183702,0.0,-0.0285714285714285,-0.0649350649350649,-4,0,0.0,0.5,0.6
74.80417995923858,0.3,0.375,0.375,8,4,0.0,1.0,0.5
-36.01898198670756,0.4,0.2222222222222222,0.2222222222222222,-8,0,0.5,0.5,0.75
84.1922349234926,0.5,0.375,0.375,8,4,0.0,1.0,0.5
-108.58614372533316,-1.0,-0.8888888888888888,-0.8888888888888888,-8,0,-0.5,0.5,0.75
-102.14071689487196,0.1999999999999999,0.1999999999999999,0.15,-20,-2,0.0,1.0,0.6363636363636364
60.99517722875567,-0.4,-0.1999999999999999,-0.1999999999999999,20,0,-0.5,0.9090909090909092,1.0
-87.43432651120725,0.15,-0.05,-0.05,-20,0,0.0,1.0,0.5833333333333334
47.54712964435089,-0.4,-0.1,-0.05,20,0,-0.1666666666666666,0.9166666666666666,0.5
69.2641407027254,0.1999999999999999,0.275,0.275,2,-1,0.0,1.0,0.6
-94.9678697829745,-0.4,-0.4444444444444444,-0.3535353535353535,-2,0,-0.5,0.6666666666666666,0.8
118.43252567449645,0.6,0.5,0.4166666666666666,2,0,0.5,1.0,0.5
-75.92822441525504,-0.2,-0.4,-0.3006993006993007,-2,0,-0.1666666666666666,0.5,0.8333333333333334
101.04422086766816,0.4,0.4,0.3571428571428571,2,0,0.25,0.8571428571428571,0.5714285714285714
20.390723307592907,-0.2,-0.0333333333333333,-0.0333333333333333,9,0,0.0,0.75,0.6666666666666666
50.51482159283705,0.0,0.0857142857142857,0.0982142857142857,9,0,0.5,0.7777777777777778,0.5
-77.89474375308782,-0.1999999999999999,-0.175,-0.1985294117647058,-9,0,-0.5,1.0,0.8571428571428571
107.63345317272888,0.2,0.3555555555555555,0.1871345029239766,-10,-13,0.0,0.75,0.25
